Order,ID,Client,Title,Vimeo ID,Thumbnail ID,Video URL,Loop URL
1,"ali-ali-du-1","DU","FORREST GUMP",1125677522,1125687954,https://vimeo.com/1125677522,https://vimeo.com/1125687954
2,"ali-ali-du-2","DU","THE MAN SITTING NEXT TO YOU",1125678568,1125688284,https://vimeo.com/1125678568,https://vimeo.com/1125688284
3,"ali-ali-rolling-stone-3","ROLLING STONE","ROCKIN' MAMAS",1125678831,1122947921,https://vimeo.com/1125678831,https://vimeo.com/1122947921
4,"ali-ali-lavazza-4","LAVAZZA","COFFEE AT HOME",1125679569,1125688747,https://vimeo.com/1125679569,https://vimeo.com/1125688747
5,"ali-ali-lavazza-5","LAVAZZA","ALEXA",1125684025,1122947563,https://vimeo.com/1125684025,https://vimeo.com/1122947563
6,"ali-ali-diesel-6","DIESEL","BE A FOLLOWER",1125679819,1124333771,https://vimeo.com/1125679819,https://vimeo.com/1124333771
7,"ali-ali-heineken-7","HEINEKEN","THE NIGHT IS YOUNG",1125682233,1122947356,https://vimeo.com/1125682233,https://vimeo.com/1122947356
8,"ali-ali-heineken-8","HEINEKEN","CHEERS TO ALL FANS",1125682454,1125688434,https://vimeo.com/1125682454,https://vimeo.com/1125688434
9,"ali-ali-heineken-9","HEINEKEN","THE CLEANERS",1125683228,1122946774,https://vimeo.com/1125683228,https://vimeo.com/1122946774
10,"ali-ali-hohos-10","HOHOS","THE BIG TURNAROUND",1125683516,1125688599,https://vimeo.com/1125683516,https://vimeo.com/1125688599
11,"ali-ali-panda-11","PANDA","NEVER SAY NO TO PANDA",1125683746,1122947743,https://vimeo.com/1125683746,https://vimeo.com/1122947743
